Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Arvind Ltd.,TEXTILES,ARVIND,EQ,INE034A01011
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Financial Inclusion Ltd.,FINANCIAL SERVICES,BHARATFIN,EQ,INE180K01011
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01022
CESC Ltd.,ENERGY,CESC,EQ,INE486A01013
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS,CENTURYTEX,EQ,INE055A01016
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01016
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01017
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALMIABHA,EQ,INE439L01019
Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,DHFL,EQ,INE202B01012
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS,EQ,INE264A01014
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035
Gruh Finance Ltd.,FINANCIAL SERVICES,GRUH,EQ,INE580B01029
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014
Gujarat State Petronet Ltd.,ENERGY,GSPL,EQ,INE246F01010
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hexaware Technologies Ltd.,IT,HEXAWARE,EQ,INE093A01033
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
I T C Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDFC Bank Ltd.,FINANCIAL SERVICES,IDFCBANK,EQ,INE092T01019
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
Idea Cellular Ltd.,TELECOM,IDEA,EQ,INE669E01016
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,EQ,INE053A01029
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01019
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024
Infosys Ltd.,IT,INFY,EQ,INE009A01021
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020
JSW Energy Ltd.,ENERGY,JSWENERGY,EQ,INE121E01018
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT,EQ,INE700A01033
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahanagar Gas Ltd.,ENERGY,MGL,EQ,INE002S01010
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01023
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Petronet LNG Ltd.,ENERGY,PETRONET,EQ,INE347G01014
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030
Reliance Capital Ltd.,FINANCIAL SERVICES,RELCAPITAL,EQ,INE013A01015
Reliance Communications Ltd.,TELECOM,RCOM,EQ,INE330H01018
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
SRF Ltd.,TEXTILES,SRF,EQ,INE647A01010
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Strides Shasun Ltd.,PHARMA,STAR,EQ,INE939A01011
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,TELECOM,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
Torrent Power Ltd.,ENERGY,TORNTPOWER,EQ,INE813H01021
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01016
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Voltas Ltd.,CONSTRUCTION,VOLTAS,EQ,INE226A01021
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01019
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
